Name;Hitpoints;Hero;Level;Card1;Card2;Card3;Card4;Card5;Card6;Card7;Card8;Card9;Card10;Card11;Card12;Card13;Card14;Card15
Orobas;50;Lich;6;Orobas;Orobas;Orobas;Orobas;Orobas;Orobas;Orobas;Orobas;Orobas;Orobas;Orobas;Orobas;Orobas;Orobas;Orobas
Orobas Ignited;50;Lich;6;Orobas Ignited;Orobas Ignited;Orobas Ignited;Orobas Ignited;Orobas Ignited;Orobas Ignited;Orobas Ignited;Orobas Ignited;Orobas Ignited;Orobas Ignited;Orobas Ignited;Orobas Ignited;Orobas Ignited;Orobas Ignited;Orobas Ignited
Orobas Unleashed;50;Lich;6;Orobas Unleashed;Orobas Unleashed;Orobas Unleashed;Orobas Unleashed;Orobas Unleashed;Orobas Unleashed;Orobas Unleashed;Orobas Unleashed;Orobas Unleashed;Orobas Unleashed;Orobas Unleashed;Orobas Unleashed;Orobas Unleashed;Orobas Unleashed;Orobas Unleashed
Paladin;50;Samael;6;Paladin;Paladin;Paladin;Paladin;Paladin;Paladin;Paladin;Paladin;Paladin;Paladin;Paladin;Paladin;Paladin;Paladin;Paladin
Pegasus;50;Samael;6;Pegasus;Pegasus;Pegasus;Pegasus;Pegasus;Pegasus;Pegasus;Pegasus;Pegasus;Pegasus;Pegasus;Pegasus;Pegasus;Pegasus;Pegasus
Phase Imp;50;Lich;6;Phase Imp;Phase Imp;Phase Imp;Phase Imp;Phase Imp;Phase Imp;Phase Imp;Phase Imp;Phase Imp;Phase Imp;Phase Imp;Phase Imp;Phase Imp;Phase Imp;Phase Imp
Piping Tempest;50;Samael;6;Piping Tempest;Piping Tempest;Piping Tempest;Piping Tempest;Piping Tempest;Piping Tempest;Piping Tempest;Piping Tempest;Piping Tempest;Piping Tempest;Piping Tempest;Piping Tempest;Piping Tempest;Piping Tempest;Piping Tempest
Plague Locust;50;Lich;6;Plague Locust;Plague Locust;Plague Locust;Plague Locust;Plague Locust;Plague Locust;Plague Locust;Plague Locust;Plague Locust;Plague Locust;Plague Locust;Plague Locust;Plague Locust;Plague Locust;Plague Locust
Platinum Armorer;50;Samael;6;Platinum Armorer;Platinum Armorer;Platinum Armorer;Platinum Armorer;Platinum Armorer;Platinum Armorer;Platinum Armorer;Platinum Armorer;Platinum Armorer;Platinum Armorer;Platinum Armorer;Platinum Armorer;Platinum Armorer;Platinum Armorer;Platinum Armorer
Platinum Champion;50;Samael;6;Platinum Champion;Platinum Champion;Platinum Champion;Platinum Champion;Platinum Champion;Platinum Champion;Platinum Champion;Platinum Champion;Platinum Champion;Platinum Champion;Platinum Champion;Platinum Champion;Platinum Champion;Platinum Champion;Platinum Champion
Platinum Golem;50;Samael;6;Platinum Golem;Platinum Golem;Platinum Golem;Platinum Golem;Platinum Golem;Platinum Golem;Platinum Golem;Platinum Golem;Platinum Golem;Platinum Golem;Platinum Golem;Platinum Golem;Platinum Golem;Platinum Golem;Platinum Golem
Poison Bullfrog;50;Lich;6;Poison Bullfrog;Poison Bullfrog;Poison Bullfrog;Poison Bullfrog;Poison Bullfrog;Poison Bullfrog;Poison Bullfrog;Poison Bullfrog;Poison Bullfrog;Poison Bullfrog;Poison Bullfrog;Poison Bullfrog;Poison Bullfrog;Poison Bullfrog;Poison Bullfrog
Poliworg;50;Samael;6;Poliworg;Poliworg;Poliworg;Poliworg;Poliworg;Poliworg;Poliworg;Poliworg;Poliworg;Poliworg;Poliworg;Poliworg;Poliworg;Poliworg;Poliworg
Poliworg Barrage;50;Samael;6;Poliworg Barrage;Poliworg Barrage;Poliworg Barrage;Poliworg Barrage;Poliworg Barrage;Poliworg Barrage;Poliworg Barrage;Poliworg Barrage;Poliworg Barrage;Poliworg Barrage;Poliworg Barrage;Poliworg Barrage;Poliworg Barrage;Poliworg Barrage;Poliworg Barrage
Poliworg Blitz;50;Samael;6;Poliworg Blitz;Poliworg Blitz;Poliworg Blitz;Poliworg Blitz;Poliworg Blitz;Poliworg Blitz;Poliworg Blitz;Poliworg Blitz;Poliworg Blitz;Poliworg Blitz;Poliworg Blitz;Poliworg Blitz;Poliworg Blitz;Poliworg Blitz;Poliworg Blitz
Pondfist Shaman;50;Gorc;6;Pondfist Shaman;Pondfist Shaman;Pondfist Shaman;Pondfist Shaman;Pondfist Shaman;Pondfist Shaman;Pondfist Shaman;Pondfist Shaman;Pondfist Shaman;Pondfist Shaman;Pondfist Shaman;Pondfist Shaman;Pondfist Shaman;Pondfist Shaman;Pondfist Shaman
Purging Locust;50;Lich;6;Purging Locust;Purging Locust;Purging Locust;Purging Locust;Purging Locust;Purging Locust;Purging Locust;Purging Locust;Purging Locust;Purging Locust;Purging Locust;Purging Locust;Purging Locust;Purging Locust;Purging Locust
Purified Kestral;50;Samael;6;Purified Kestral;Purified Kestral;Purified Kestral;Purified Kestral;Purified Kestral;Purified Kestral;Purified Kestral;Purified Kestral;Purified Kestral;Purified Kestral;Purified Kestral;Purified Kestral;Purified Kestral;Purified Kestral;Purified Kestral
Queen of the Swamp;50;Gorc;6;Queen of the Swamp;Queen of the Swamp;Queen of the Swamp;Queen of the Swamp;Queen of the Swamp;Queen of the Swamp;Queen of the Swamp;Queen of the Swamp;Queen of the Swamp;Queen of the Swamp;Queen of the Swamp;Queen of the Swamp;Queen of the Swamp;Queen of the Swamp;Queen of the Swamp
Radiance;50;Samael;6;Radiance;Radiance;Radiance;Radiance;Radiance;Radiance;Radiance;Radiance;Radiance;Radiance;Radiance;Radiance;Radiance;Radiance;Radiance
Radiant Paladin;50;Samael;6;Radiant Paladin;Radiant Paladin;Radiant Paladin;Radiant Paladin;Radiant Paladin;Radiant Paladin;Radiant Paladin;Radiant Paladin;Radiant Paladin;Radiant Paladin;Radiant Paladin;Radiant Paladin;Radiant Paladin;Radiant Paladin;Radiant Paladin
Ranger;50;Gorc;6;Ranger;Ranger;Ranger;Ranger;Ranger;Ranger;Ranger;Ranger;Ranger;Ranger;Ranger;Ranger;Ranger;Ranger;Ranger
Ravaging Dragon;50;Lich;6;Ravaging Dragon;Ravaging Dragon;Ravaging Dragon;Ravaging Dragon;Ravaging Dragon;Ravaging Dragon;Ravaging Dragon;Ravaging Dragon;Ravaging Dragon;Ravaging Dragon;Ravaging Dragon;Ravaging Dragon;Ravaging Dragon;Ravaging Dragon;Ravaging Dragon
Redclaw Wraith;50;Lich;6;Redclaw Wraith;Redclaw Wraith;Redclaw Wraith;Redclaw Wraith;Redclaw Wraith;Redclaw Wraith;Redclaw Wraith;Redclaw Wraith;Redclaw Wraith;Redclaw Wraith;Redclaw Wraith;Redclaw Wraith;Redclaw Wraith;Redclaw Wraith;Redclaw Wraith
Retribution Angel;50;Samael;6;Retribution Angel;Retribution Angel;Retribution Angel;Retribution Angel;Retribution Angel;Retribution Angel;Retribution Angel;Retribution Angel;Retribution Angel;Retribution Angel;Retribution Angel;Retribution Angel;Retribution Angel;Retribution Angel;Retribution Angel
Rhino Beast;50;Gorc;6;Rhino Beast;Rhino Beast;Rhino Beast;Rhino Beast;Rhino Beast;Rhino Beast;Rhino Beast;Rhino Beast;Rhino Beast;Rhino Beast;Rhino Beast;Rhino Beast;Rhino Beast;Rhino Beast;Rhino Beast
rhino Brute;50;Gorc;6;rhino Brute;rhino Brute;rhino Brute;rhino Brute;rhino Brute;rhino Brute;rhino Brute;rhino Brute;rhino Brute;rhino Brute;rhino Brute;rhino Brute;rhino Brute;rhino Brute;rhino Brute
Rhino Savage;50;Gorc;6;Rhino Savage;Rhino Savage;Rhino Savage;Rhino Savage;Rhino Savage;Rhino Savage;Rhino Savage;Rhino Savage;Rhino Savage;Rhino Savage;Rhino Savage;Rhino Savage;Rhino Savage;Rhino Savage;Rhino Savage
Rhythm of the Wyld;50;Gorc;6;Rhythm of the Wyld;Rhythm of the Wyld;Rhythm of the Wyld;Rhythm of the Wyld;Rhythm of the Wyld;Rhythm of the Wyld;Rhythm of the Wyld;Rhythm of the Wyld;Rhythm of the Wyld;Rhythm of the Wyld;Rhythm of the Wyld;Rhythm of the Wyld;Rhythm of the Wyld;Rhythm of the Wyld;Rhythm of the Wyld
Ribbit Wayfare;50;Samael;6;Ribbit Wayfare;Ribbit Wayfare;Ribbit Wayfare;Ribbit Wayfare;Ribbit Wayfare;Ribbit Wayfare;Ribbit Wayfare;Ribbit Wayfare;Ribbit Wayfare;Ribbit Wayfare;Ribbit Wayfare;Ribbit Wayfare;Ribbit Wayfare;Ribbit Wayfare;Ribbit Wayfare
Risen Brute;50;Lich;6;Risen Brute;Risen Brute;Risen Brute;Risen Brute;Risen Brute;Risen Brute;Risen Brute;Risen Brute;Risen Brute;Risen Brute;Risen Brute;Risen Brute;Risen Brute;Risen Brute;Risen Brute
Rock Dragon;50;Gorc;6;Rock Dragon;Rock Dragon;Rock Dragon;Rock Dragon;Rock Dragon;Rock Dragon;Rock Dragon;Rock Dragon;Rock Dragon;Rock Dragon;Rock Dragon;Rock Dragon;Rock Dragon;Rock Dragon;Rock Dragon
Rock Titan;50;Gorc;6;Rock Titan;Rock Titan;Rock Titan;Rock Titan;Rock Titan;Rock Titan;Rock Titan;Rock Titan;Rock Titan;Rock Titan;Rock Titan;Rock Titan;Rock Titan;Rock Titan;Rock Titan
Royal Guardian;50;Samael;6;Royal Guardian;Royal Guardian;Royal Guardian;Royal Guardian;Royal Guardian;Royal Guardian;Royal Guardian;Royal Guardian;Royal Guardian;Royal Guardian;Royal Guardian;Royal Guardian;Royal Guardian;Royal Guardian;Royal Guardian
rune Panther;50;Gorc;6;rune Panther;rune Panther;rune Panther;rune Panther;rune Panther;rune Panther;rune Panther;rune Panther;rune Panther;rune Panther;rune Panther;rune Panther;rune Panther;rune Panther;rune Panther
Runelock Panther;50;Gorc;6;Runelock Panther;Runelock Panther;Runelock Panther;Runelock Panther;Runelock Panther;Runelock Panther;Runelock Panther;Runelock Panther;Runelock Panther;Runelock Panther;Runelock Panther;Runelock Panther;Runelock Panther;Runelock Panther;Runelock Panther
Runeplate Panther;50;Gorc;6;Runeplate Panther;Runeplate Panther;Runeplate Panther;Runeplate Panther;Runeplate Panther;Runeplate Panther;Runeplate Panther;Runeplate Panther;Runeplate Panther;Runeplate Panther;Runeplate Panther;Runeplate Panther;Runeplate Panther;Runeplate Panther;Runeplate Panther
Rust Colossus;50;Lich;6;Rust Colossus;Rust Colossus;Rust Colossus;Rust Colossus;Rust Colossus;Rust Colossus;Rust Colossus;Rust Colossus;Rust Colossus;Rust Colossus;Rust Colossus;Rust Colossus;Rust Colossus;Rust Colossus;Rust Colossus
Rust Goliath;50;Lich;6;Rust Goliath;Rust Goliath;Rust Goliath;Rust Goliath;Rust Goliath;Rust Goliath;Rust Goliath;Rust Goliath;Rust Goliath;Rust Goliath;Rust Goliath;Rust Goliath;Rust Goliath;Rust Goliath;Rust Goliath
Rust Titan;50;Lich;6;Rust Titan;Rust Titan;Rust Titan;Rust Titan;Rust Titan;Rust Titan;Rust Titan;Rust Titan;Rust Titan;Rust Titan;Rust Titan;Rust Titan;Rust Titan;Rust Titan;Rust Titan
Sage of Croaks;50;Gorc;6;Sage of Croaks;Sage of Croaks;Sage of Croaks;Sage of Croaks;Sage of Croaks;Sage of Croaks;Sage of Croaks;Sage of Croaks;Sage of Croaks;Sage of Croaks;Sage of Croaks;Sage of Croaks;Sage of Croaks;Sage of Croaks;Sage of Croaks
Sage Tsunamari;50;Gorc;6;Sage Tsunamari;Sage Tsunamari;Sage Tsunamari;Sage Tsunamari;Sage Tsunamari;Sage Tsunamari;Sage Tsunamari;Sage Tsunamari;Sage Tsunamari;Sage Tsunamari;Sage Tsunamari;Sage Tsunamari;Sage Tsunamari;Sage Tsunamari;Sage Tsunamari
Sailing Drake;50;Samael;6;Sailing Drake;Sailing Drake;Sailing Drake;Sailing Drake;Sailing Drake;Sailing Drake;Sailing Drake;Sailing Drake;Sailing Drake;Sailing Drake;Sailing Drake;Sailing Drake;Sailing Drake;Sailing Drake;Sailing Drake
Sanguine Demon;50;Lich;6;Sanguine Demon;Sanguine Demon;Sanguine Demon;Sanguine Demon;Sanguine Demon;Sanguine Demon;Sanguine Demon;Sanguine Demon;Sanguine Demon;Sanguine Demon;Sanguine Demon;Sanguine Demon;Sanguine Demon;Sanguine Demon;Sanguine Demon
Sapling;50;Gorc;6;Sapling;Sapling;Sapling;Sapling;Sapling;Sapling;Sapling;Sapling;Sapling;Sapling;Sapling;Sapling;Sapling;Sapling;Sapling
Scalding Tempest;50;Samael;6;Scalding Tempest;Scalding Tempest;Scalding Tempest;Scalding Tempest;Scalding Tempest;Scalding Tempest;Scalding Tempest;Scalding Tempest;Scalding Tempest;Scalding Tempest;Scalding Tempest;Scalding Tempest;Scalding Tempest;Scalding Tempest;Scalding Tempest
Scorching drake;50;Lich;6;Scorching drake;Scorching drake;Scorching drake;Scorching drake;Scorching drake;Scorching drake;Scorching drake;Scorching drake;Scorching drake;Scorching drake;Scorching drake;Scorching drake;Scorching drake;Scorching drake;Scorching drake
Scythe Demon;50;Lich;6;Scythe Demon;Scythe Demon;Scythe Demon;Scythe Demon;Scythe Demon;Scythe Demon;Scythe Demon;Scythe Demon;Scythe Demon;Scythe Demon;Scythe Demon;Scythe Demon;Scythe Demon;Scythe Demon;Scythe Demon
Sea Serpent;50;Gorc;6;Sea Serpent;Sea Serpent;Sea Serpent;Sea Serpent;Sea Serpent;Sea Serpent;Sea Serpent;Sea Serpent;Sea Serpent;Sea Serpent;Sea Serpent;Sea Serpent;Sea Serpent;Sea Serpent;Sea Serpent
Shade Assassin;50;Lich;6;Shade Assassin;Shade Assassin;Shade Assassin;Shade Assassin;Shade Assassin;Shade Assassin;Shade Assassin;Shade Assassin;Shade Assassin;Shade Assassin;Shade Assassin;Shade Assassin;Shade Assassin;Shade Assassin;Shade Assassin
Shadow Assassin;50;Lich;6;Shadow Assassin;Shadow Assassin;Shadow Assassin;Shadow Assassin;Shadow Assassin;Shadow Assassin;Shadow Assassin;Shadow Assassin;Shadow Assassin;Shadow Assassin;Shadow Assassin;Shadow Assassin;Shadow Assassin;Shadow Assassin;Shadow Assassin
Shadow Elemental;50;Gorc;6;Shadow Elemental;Shadow Elemental;Shadow Elemental;Shadow Elemental;Shadow Elemental;Shadow Elemental;Shadow Elemental;Shadow Elemental;Shadow Elemental;Shadow Elemental;Shadow Elemental;Shadow Elemental;Shadow Elemental;Shadow Elemental;Shadow Elemental
Shadow of Ash;50;Lich;6;Shadow of Ash;Shadow of Ash;Shadow of Ash;Shadow of Ash;Shadow of Ash;Shadow of Ash;Shadow of Ash;Shadow of Ash;Shadow of Ash;Shadow of Ash;Shadow of Ash;Shadow of Ash;Shadow of Ash;Shadow of Ash;Shadow of Ash
Shieldstone Druid;50;Gorc;6;Shieldstone Druid;Shieldstone Druid;Shieldstone Druid;Shieldstone Druid;Shieldstone Druid;Shieldstone Druid;Shieldstone Druid;Shieldstone Druid;Shieldstone Druid;Shieldstone Druid;Shieldstone Druid;Shieldstone Druid;Shieldstone Druid;Shieldstone Druid;Shieldstone Druid
Shining Radiance;50;Samael;6;Shining Radiance;Shining Radiance;Shining Radiance;Shining Radiance;Shining Radiance;Shining Radiance;Shining Radiance;Shining Radiance;Shining Radiance;Shining Radiance;Shining Radiance;Shining Radiance;Shining Radiance;Shining Radiance;Shining Radiance
Silver Wind;50;Samael;6;Silver Wind;Silver Wind;Silver Wind;Silver Wind;Silver Wind;Silver Wind;Silver Wind;Silver Wind;Silver Wind;Silver Wind;Silver Wind;Silver Wind;Silver Wind;Silver Wind;Silver Wind
Silver Wind Soul;50;Samael;6;Silver Wind Soul;Silver Wind Soul;Silver Wind Soul;Silver Wind Soul;Silver Wind Soul;Silver Wind Soul;Silver Wind Soul;Silver Wind Soul;Silver Wind Soul;Silver Wind Soul;Silver Wind Soul;Silver Wind Soul;Silver Wind Soul;Silver Wind Soul;Silver Wind Soul
Silver Wind Spirit;50;Samael;6;Silver Wind Spirit;Silver Wind Spirit;Silver Wind Spirit;Silver Wind Spirit;Silver Wind Spirit;Silver Wind Spirit;Silver Wind Spirit;Silver Wind Spirit;Silver Wind Spirit;Silver Wind Spirit;Silver Wind Spirit;Silver Wind Spirit;Silver Wind Spirit;Silver Wind Spirit;Silver Wind Spirit
Siphon Dragon;50;Lich;6;Siphon Dragon;Siphon Dragon;Siphon Dragon;Siphon Dragon;Siphon Dragon;Siphon Dragon;Siphon Dragon;Siphon Dragon;Siphon Dragon;Siphon Dragon;Siphon Dragon;Siphon Dragon;Siphon Dragon;Siphon Dragon;Siphon Dragon
Skeletal Giant;50;Lich;6;Skeletal Giant;Skeletal Giant;Skeletal Giant;Skeletal Giant;Skeletal Giant;Skeletal Giant;Skeletal Giant;Skeletal Giant;Skeletal Giant;Skeletal Giant;Skeletal Giant;Skeletal Giant;Skeletal Giant;Skeletal Giant;Skeletal Giant
Skeletal Hound;50;Lich;6;Skeletal Hound;Skeletal Hound;Skeletal Hound;Skeletal Hound;Skeletal Hound;Skeletal Hound;Skeletal Hound;Skeletal Hound;Skeletal Hound;Skeletal Hound;Skeletal Hound;Skeletal Hound;Skeletal Hound;Skeletal Hound;Skeletal Hound
Skeleton Swordsman;50;Lich;6;Skeleton Swordsman;Skeleton Swordsman;Skeleton Swordsman;Skeleton Swordsman;Skeleton Swordsman;Skeleton Swordsman;Skeleton Swordsman;Skeleton Swordsman;Skeleton Swordsman;Skeleton Swordsman;Skeleton Swordsman;Skeleton Swordsman;Skeleton Swordsman;Skeleton Swordsman;Skeleton Swordsman
Skeleton Warlord;50;Lich;6;Skeleton Warlord;Skeleton Warlord;Skeleton Warlord;Skeleton Warlord;Skeleton Warlord;Skeleton Warlord;Skeleton Warlord;Skeleton Warlord;Skeleton Warlord;Skeleton Warlord;Skeleton Warlord;Skeleton Warlord;Skeleton Warlord;Skeleton Warlord;Skeleton Warlord
Skeleton Warrior;50;Lich;6;Skeleton Warrior;Skeleton Warrior;Skeleton Warrior;Skeleton Warrior;Skeleton Warrior;Skeleton Warrior;Skeleton Warrior;Skeleton Warrior;Skeleton Warrior;Skeleton Warrior;Skeleton Warrior;Skeleton Warrior;Skeleton Warrior;Skeleton Warrior;Skeleton Warrior
Sky Knight;50;Samael;6;Sky Knight;Sky Knight;Sky Knight;Sky Knight;Sky Knight;Sky Knight;Sky Knight;Sky Knight;Sky Knight;Sky Knight;Sky Knight;Sky Knight;Sky Knight;Sky Knight;Sky Knight
Sky Whale;50;Samael;6;Sky Whale;Sky Whale;Sky Whale;Sky Whale;Sky Whale;Sky Whale;Sky Whale;Sky Whale;Sky Whale;Sky Whale;Sky Whale;Sky Whale;Sky Whale;Sky Whale;Sky Whale
Smelted Lava Slug;50;Lich;6;Smelted Lava Slug;Smelted Lava Slug;Smelted Lava Slug;Smelted Lava Slug;Smelted Lava Slug;Smelted Lava Slug;Smelted Lava Slug;Smelted Lava Slug;Smelted Lava Slug;Smelted Lava Slug;Smelted Lava Slug;Smelted Lava Slug;Smelted Lava Slug;Smelted Lava Slug;Smelted Lava Slug
Smelted Skeleton;50;Lich;6;Smelted Skeleton;Smelted Skeleton;Smelted Skeleton;Smelted Skeleton;Smelted Skeleton;Smelted Skeleton;Smelted Skeleton;Smelted Skeleton;Smelted Skeleton;Smelted Skeleton;Smelted Skeleton;Smelted Skeleton;Smelted Skeleton;Smelted Skeleton;Smelted Skeleton
Smoldering Elemental;50;Lich;6;Smoldering Elemental;Smoldering Elemental;Smoldering Elemental;Smoldering Elemental;Smoldering Elemental;Smoldering Elemental;Smoldering Elemental;Smoldering Elemental;Smoldering Elemental;Smoldering Elemental;Smoldering Elemental;Smoldering Elemental;Smoldering Elemental;Smoldering Elemental;Smoldering Elemental
Soaring Whale;50;Samael;6;Soaring Whale;Soaring Whale;Soaring Whale;Soaring Whale;Soaring Whale;Soaring Whale;Soaring Whale;Soaring Whale;Soaring Whale;Soaring Whale;Soaring Whale;Soaring Whale;Soaring Whale;Soaring Whale;Soaring Whale
Soul of Ash;50;Lich;6;Soul of Ash;Soul of Ash;Soul of Ash;Soul of Ash;Soul of Ash;Soul of Ash;Soul of Ash;Soul of Ash;Soul of Ash;Soul of Ash;Soul of Ash;Soul of Ash;Soul of Ash;Soul of Ash;Soul of Ash
Soul Wisp;50;Samael;6;Soul Wisp;Soul Wisp;Soul Wisp;Soul Wisp;Soul Wisp;Soul Wisp;Soul Wisp;Soul Wisp;Soul Wisp;Soul Wisp;Soul Wisp;Soul Wisp;Soul Wisp;Soul Wisp;Soul Wisp
Spearhunter Griffin;50;Samael;6;Spearhunter Griffin;Spearhunter Griffin;Spearhunter Griffin;Spearhunter Griffin;Spearhunter Griffin;Spearhunter Griffin;Spearhunter Griffin;Spearhunter Griffin;Spearhunter Griffin;Spearhunter Griffin;Spearhunter Griffin;Spearhunter Griffin;Spearhunter Griffin;Spearhunter Griffin;Spearhunter Griffin
Specter of Sap;50;Gorc;6;Specter of Sap;Specter of Sap;Specter of Sap;Specter of Sap;Specter of Sap;Specter of Sap;Specter of Sap;Specter of Sap;Specter of Sap;Specter of Sap;Specter of Sap;Specter of Sap;Specter of Sap;Specter of Sap;Specter of Sap
Spiked Rakken;50;Lich;6;Spiked Rakken;Spiked Rakken;Spiked Rakken;Spiked Rakken;Spiked Rakken;Spiked Rakken;Spiked Rakken;Spiked Rakken;Spiked Rakken;Spiked Rakken;Spiked Rakken;Spiked Rakken;Spiked Rakken;Spiked Rakken;Spiked Rakken
Spire Spirit;50;Samael;6;Spire Spirit;Spire Spirit;Spire Spirit;Spire Spirit;Spire Spirit;Spire Spirit;Spire Spirit;Spire Spirit;Spire Spirit;Spire Spirit;Spire Spirit;Spire Spirit;Spire Spirit;Spire Spirit;Spire Spirit
Spirit Kestral;50;Samael;6;Spirit Kestral;Spirit Kestral;Spirit Kestral;Spirit Kestral;Spirit Kestral;Spirit Kestral;Spirit Kestral;Spirit Kestral;Spirit Kestral;Spirit Kestral;Spirit Kestral;Spirit Kestral;Spirit Kestral;Spirit Kestral;Spirit Kestral
Spirit of Dementia;50;Lich;6;Spirit of Dementia;Spirit of Dementia;Spirit of Dementia;Spirit of Dementia;Spirit of Dementia;Spirit of Dementia;Spirit of Dementia;Spirit of Dementia;Spirit of Dementia;Spirit of Dementia;Spirit of Dementia;Spirit of Dementia;Spirit of Dementia;Spirit of Dementia;Spirit of Dementia
Spirit of Insanity;50;Lich;6;Spirit of Insanity;Spirit of Insanity;Spirit of Insanity;Spirit of Insanity;Spirit of Insanity;Spirit of Insanity;Spirit of Insanity;Spirit of Insanity;Spirit of Insanity;Spirit of Insanity;Spirit of Insanity;Spirit of Insanity;Spirit of Insanity;Spirit of Insanity;Spirit of Insanity
Spirit of Madness;50;Lich;6;Spirit of Madness;Spirit of Madness;Spirit of Madness;Spirit of Madness;Spirit of Madness;Spirit of Madness;Spirit of Madness;Spirit of Madness;Spirit of Madness;Spirit of Madness;Spirit of Madness;Spirit of Madness;Spirit of Madness;Spirit of Madness;Spirit of Madness
Spirit of Sap;50;Gorc;6;Spirit of Sap;Spirit of Sap;Spirit of Sap;Spirit of Sap;Spirit of Sap;Spirit of Sap;Spirit of Sap;Spirit of Sap;Spirit of Sap;Spirit of Sap;Spirit of Sap;Spirit of Sap;Spirit of Sap;Spirit of Sap;Spirit of Sap
Stalker Frog;50;Gorc;6;Stalker Frog;Stalker Frog;Stalker Frog;Stalker Frog;Stalker Frog;Stalker Frog;Stalker Frog;Stalker Frog;Stalker Frog;Stalker Frog;Stalker Frog;Stalker Frog;Stalker Frog;Stalker Frog;Stalker Frog
Static Drake;50;Samael;6;Static Drake;Static Drake;Static Drake;Static Drake;Static Drake;Static Drake;Static Drake;Static Drake;Static Drake;Static Drake;Static Drake;Static Drake;Static Drake;Static Drake;Static Drake
Steam Tempest;50;Samael;6;Steam Tempest;Steam Tempest;Steam Tempest;Steam Tempest;Steam Tempest;Steam Tempest;Steam Tempest;Steam Tempest;Steam Tempest;Steam Tempest;Steam Tempest;Steam Tempest;Steam Tempest;Steam Tempest;Steam Tempest
Steel Eagle;50;Samael;6;Steel Eagle;Steel Eagle;Steel Eagle;Steel Eagle;Steel Eagle;Steel Eagle;Steel Eagle;Steel Eagle;Steel Eagle;Steel Eagle;Steel Eagle;Steel Eagle;Steel Eagle;Steel Eagle;Steel Eagle
Stone Titan;50;Gorc;6;Stone Titan;Stone Titan;Stone Titan;Stone Titan;Stone Titan;Stone Titan;Stone Titan;Stone Titan;Stone Titan;Stone Titan;Stone Titan;Stone Titan;Stone Titan;Stone Titan;Stone Titan
Storm Giant;50;Samael;6;Storm Giant;Storm Giant;Storm Giant;Storm Giant;Storm Giant;Storm Giant;Storm Giant;Storm Giant;Storm Giant;Storm Giant;Storm Giant;Storm Giant;Storm Giant;Storm Giant;Storm Giant
Stormcleaver Dragon;50;Samael;6;Stormcleaver Dragon;Stormcleaver Dragon;Stormcleaver Dragon;Stormcleaver Dragon;Stormcleaver Dragon;Stormcleaver Dragon;Stormcleaver Dragon;Stormcleaver Dragon;Stormcleaver Dragon;Stormcleaver Dragon;Stormcleaver Dragon;Stormcleaver Dragon;Stormcleaver Dragon;Stormcleaver Dragon;Stormcleaver Dragon
Stormcloud Pegasus;50;Samael;6;Stormcloud Pegasus;Stormcloud Pegasus;Stormcloud Pegasus;Stormcloud Pegasus;Stormcloud Pegasus;Stormcloud Pegasus;Stormcloud Pegasus;Stormcloud Pegasus;Stormcloud Pegasus;Stormcloud Pegasus;Stormcloud Pegasus;Stormcloud Pegasus;Stormcloud Pegasus;Stormcloud Pegasus;Stormcloud Pegasus
Stormspawn Dragon;50;Samael;6;Stormspawn Dragon;Stormspawn Dragon;Stormspawn Dragon;Stormspawn Dragon;Stormspawn Dragon;Stormspawn Dragon;Stormspawn Dragon;Stormspawn Dragon;Stormspawn Dragon;Stormspawn Dragon;Stormspawn Dragon;Stormspawn Dragon;Stormspawn Dragon;Stormspawn Dragon;Stormspawn Dragon
Storm Dragon;50;Samael;6;Storm Dragon;Storm Dragon;Storm Dragon;Storm Dragon;Storm Dragon;Storm Dragon;Storm Dragon;Storm Dragon;Storm Dragon;Storm Dragon;Storm Dragon;Storm Dragon;Storm Dragon;Storm Dragon;Storm Dragon
Supreme frog Emperor;50;Gorc;6;Supreme frog Emperor;Supreme frog Emperor;Supreme frog Emperor;Supreme frog Emperor;Supreme frog Emperor;Supreme frog Emperor;Supreme frog Emperor;Supreme frog Emperor;Supreme frog Emperor;Supreme frog Emperor;Supreme frog Emperor;Supreme frog Emperor;Supreme frog Emperor;Supreme frog Emperor;Supreme frog Emperor
Supreme Knight Frog;50;Samael;6;Supreme Knight Frog;Supreme Knight Frog;Supreme Knight Frog;Supreme Knight Frog;Supreme Knight Frog;Supreme Knight Frog;Supreme Knight Frog;Supreme Knight Frog;Supreme Knight Frog;Supreme Knight Frog;Supreme Knight Frog;Supreme Knight Frog;Supreme Knight Frog;Supreme Knight Frog;Supreme Knight Frog
Swamp Ogre;50;Lich;6;Swamp Ogre;Swamp Ogre;Swamp Ogre;Swamp Ogre;Swamp Ogre;Swamp Ogre;Swamp Ogre;Swamp Ogre;Swamp Ogre;Swamp Ogre;Swamp Ogre;Swamp Ogre;Swamp Ogre;Swamp Ogre;Swamp Ogre
Swift Raptor;50;Samael;6;Swift Raptor;Swift Raptor;Swift Raptor;Swift Raptor;Swift Raptor;Swift Raptor;Swift Raptor;Swift Raptor;Swift Raptor;Swift Raptor;Swift Raptor;Swift Raptor;Swift Raptor;Swift Raptor;Swift Raptor
